"","County","Total.Population","TotalHouseholds","AvgHHinc","MedHHinc","WalkIndexScore","LeastWalk","BelowAvgWalk","AboveAvgWalk","MostWalk","PopInFHA","PercentPopInFHA","DailyMaxHeatIndex95Percentile"
"51","Johnston County NC",215999,60072,113052.68,98993,6,0.4131,0.5757,0.0111,0,12629,0.0585,11
"52","Jones County NC",9172,2523,79053.98,69736,5,0.6281,0.3719,0,0,1753,0.1911,9
"53","Lee County NC",63285,17293,89662,68608,6,0.4375,0.535,0.0275,0,2121,0.0335,11
"54","Lenoir County NC",55122,13591,79576.4,63247,6,0.4569,0.4512,0.0919,0,5211,0.0945,9.33
"55","Lincoln County NC",86810,25928,120765.08,93296,5,0.5863,0.3751,0.0387,0,3286,0.0379,11
"56","McDowell County NC",44578,12868,83721.49,68570,5,0.5228,0.4644,0.0128,0,2574,0.0577,9
"57","Macon County NC",37014,11238,95922.06,71306,6,0.3663,0.6337,0,0,2161,0.0584,9.33
"58","Madison County NC",21193,5486,101891.96,82178,5,0.6809,0.3191,0,0,1078,0.0509,11.67
"59","Martin County NC",22031,5819,74735.5,64044,5,0.5494,0.4127,0.0379,0,2173,0.0986,11.67
"60","Mecklenburg County NC",1115482,267583,152550.55,105950,11,0.0577,0.432,0.4097,0.1006,43070,0.0386,11
"61","Mitchell County NC",14903,4077,89320.51,72303,6,0.347,0.653,0,0,659,0.0442,8.33
"62","Montgomery County NC",25751,7232,88766.63,63984,5,0.5075,0.4925,0,0,614,0.0238,11
"63","Moore County NC",99727,28302,125891.15,100891,6,0.3618,0.6172,0.0209,0,2615,0.0262,9.67
"64","Nash County NC",94970,24984,95196.97,74069,8,0.4231,0.276,0.2382,0.0627,4349,0.0458,10.67
"65","New Hanover County NC",225702,56950,132501.86,99706,11,0.0365,0.493,0.3014,0.1692,17563,0.0778,8
"66","Northampton County NC",17471,4614,85831.21,63477,4,0.8103,0.1897,0,0,1180,0.0675,11.67
"67","Onslow County NC",204576,51712,88627.66,72330,6,0.5401,0.4558,0.0041,0,17624,0.0861,8
"68","Orange County NC",148696,33795,177194.01,128253,10,0.2942,0.2114,0.3618,0.1326,3868,0.026,11.67
"69","Pamlico County NC",12276,3272,103326.28,85611,5,0.6664,0.3336,0,0,4541,0.3699,9.67
"70","Pasquotank County NC",40568,10576,96002.34,78702,8,0.2114,0.6369,0.1517,0,6650,0.1639,13
"71","Pender County NC",60203,16231,114605.43,95366,6,0.3226,0.6694,0.0081,0,11102,0.1844,8
"72","Perquimans County NC",13005,3748,89623.45,78865,5,0.6375,0.2835,0.0791,0,2526,0.1942,12
"73","Person County NC",39097,10857,97183.81,78985,5,0.6696,0.3014,0.029,0,1043,0.0267,10.67
"74","Pitt County NC",170243,41384,99013.94,77116,7,0.2573,0.6622,0.0804,0,16947,0.0995,10.33
"75","Polk County NC",19328,5442,106445.98,80273,6,0.5192,0.4808,0,0,683,0.0353,11.67
"76","Randolph County NC",144171,38236,85775.51,70917,5,0.59,0.3703,0.0397,0,3615,0.0251,11
"77","Richmond County NC",42946,10717,67940.84,58491,6,0.4639,0.5066,0.0295,0,1190,0.0277,9
"78","Robeson County NC",116530,27840,71862.3,51516,5,0.6267,0.3528,0.0205,0,17168,0.1473,9
"79","Rockingham County NC",91096,25336,87589.06,70961,5,0.656,0.3264,0.0176,0,2513,0.0276,10
"80","Rowan County NC",146875,38847,96932.74,77193,6,0.4496,0.4641,0.0863,0,4932,0.0336,11.33
"81","Rutherford County NC",64444,17002,83206.31,61796,6,0.4882,0.5025,0.0092,0,2333,0.0362,11.67
"82","Sampson County NC",59036,14693,82472.15,67103,5,0.7008,0.2825,0.0167,0,4225,0.0716,10
"83","Scotland County NC",34174,7858,78726.37,52060,6,0.5255,0.4211,0.0534,0,1664,0.0487,9
"84","Stanly County NC",62504,16328,98153.47,81804,6,0.5206,0.4391,0.0404,0,1437,0.023,11.67
"85","Stokes County NC",44520,12315,87844.73,71817,5,0.7727,0.2273,0,0,1249,0.0281,10.67
"86","Surry County NC",71359,19612,90389.54,73707,6,0.5253,0.4343,0.0405,0,2563,0.0359,10.33
"87","Swain County NC",14117,3923,88370.38,76089,6,0.6092,0.3908,0,0,1135,0.0804,9.33
"88","Transylvania County NC",32986,9419,103293.38,81716,6,0.3959,0.5801,0.024,0,3867,0.1172,9.33
"89","Tyrrell County NC",3245,1005,69045.07,62629,4,0.783,0.217,0,0,2277,0.7017,11.33
"90","Union County NC",238267,65269,148509.51,113755,6,0.3277,0.631,0.0413,0,9506,0.0399,10.67
"91","Vance County NC",42578,10072,80361.74,57207,6,0.5223,0.4175,0.0602,0,1045,0.0245,10.33
"92","Wake County NC",1129410,290233,160711.3,128556,10,0.0833,0.5439,0.2961,0.0767,32837,0.0291,11.33
"93","Warren County NC",18642,5012,80679.67,54275,4,0.5996,0.4004,0,0,742,0.0398,11
"94","Washington County NC",11003,2685,79118.47,63687,5,0.6535,0.3212,0.0253,0,2338,0.2125,11
"95","Watauga County NC",54086,10745,111108.76,87273,8,0.2729,0.5287,0.1984,0,4872,0.0901,9
"96","Wayne County NC",117333,30863,91869.47,73138,6,0.5069,0.4477,0.0454,0,6103,0.052,9.67
"97","Wilkes County NC",65969,18374,75758.69,62018,5,0.7137,0.2765,0.0098,0,2607,0.0395,10
"98","Wilson County NC",78784,20531,89400.13,70358,7,0.3555,0.5496,0.0949,0,3706,0.047,10.67
"99","Yadkin County NC",37214,10059,98345.2,76014,5,0.6468,0.3532,0,0,1595,0.0429,11
"100","Yancey County NC",18470,5580,98782.83,74354,6,0.3366,0.6634,0,0,859,0.0465,8.67
